name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
James Harden,271,0.376383764,0.755060729,7.05,21.24637681,110.5222222,1.289101917,0.365967941
Stephen Curry,1004,0.412350598,0.875685558,-1.31,25.21904762,110.3222222,1.151866801,0.435066348
DeMar DeRozan,36,0.166666667,0.646258503,9.15,11.31428571,108.8555556,0.983854692,0.280311457
Jonny Flynn,303,0.333333333,0.781671159,8.72,17.82191781,104.275,1.368807339,0.338108883
Earl Clark,188,0.29787234,0.640243902,8.03,22.01869159,107.8,1.572635135,0.328
James Johnson,169,0.295857988,0.69266055,8.09,16.26229508,106.35,1.021695257,0.302631579
Gerald Henderson,210,0.328571429,0.706030151,9.61,20.21153846,102.525,0.925073746,0.326771654
Jeff Teague,183,0.420765027,0.811634349,8.09,16.26229508,107.5111111,1.032290616,0.35883905
Tyreke Evans,124,0.274193548,0.711340206,4.63,18.40540541,105.63,1.056508577,0.307892454
Wayne Ellington,577,0.396880416,0.809027778,8.59,16.19130435,104.85,1.047931382,0.379608295
Eric Maynor,384,0.369791667,0.790880503,-0.76,18.24615385,107.95,1.590625,0.350157729
Chase Budinger,496,0.383064516,0.782278481,9.93,16.19,105.7375,1.180350877,0.352389078
Ty Lawson,278,0.402877698,0.780092593,8.59,16.19130435,108.2666667,1.204719764,0.358605004
Darren Collison,371,0.4393531,0.850490196,8.25,17.36912752,107.2333333,0.946518668,0.379069767
Toney Douglas,639,0.375586854,0.802083333,7.61,19.81481481,107.87,1.421828909,0.353503185
Jrue Holiday,88,0.306818182,0.725806452,7.18,18.74285714,105.9333333,0.908678103,0.359066427
Patty Mills,387,0.330749354,0.805555556,0.92,20.92537313,109.5888889,0.953077699,0.393099199
Marcus Thornton,440,0.381818182,0.771428571,4.46,18.12121212,106.1916667,1.539233038,0.358361775
Austin Daye,147,0.421768707,0.79047619,2.85,18.34328358,106.6333333,1.421452703,0.351401869
Danny Green,491,0.374745418,0.845188285,8.39,16.67808219,109.9666667,0.979313824,0.398570152
DeMarre Carroll,96,0.28125,0.603004292,7.11,21.26119403,108.5181818,1.158425832,0.36147541
Wesley Matthews,293,0.341296928,0.799126638,7.77,20.08888889,107.4444444,1.115035318,0.384435342
Jodie Meeks,459,0.385620915,0.889880952,7.77,16.98019802,105.76,1.114026236,0.373443983
AJ Price,433,0.364896074,0.722371968,7.14,14.07,105.525,1.458614865,0.315942029
Alonzo Gee,354,0.324858757,0.632093933,6,17.0859375,105.6090909,1.367551622,0.325174825
John Wall,114,0.324561404,0.754310345,6.82,18.34210526,104.85,0.893947807,0.320836337
Evan Turner,149,0.362416107,0.757874016,7.86,18.99065421,104.8111111,1.061632426,0.292587776
Wesley Johnson,373,0.348525469,0.768488746,6.79,18.95918367,105.825,1.031649084,0.336175396
Patrick Patterson,73,0.328767123,0.73381295,6.24,16.78095238,108.58,1.310938368,0.366695427
Luke Babbitt,178,0.421348315,0.893129771,1.98,16.95588235,106.6875,0.978900611,0.410852713
Al-Farouq Aminu,105,0.238095238,0.686609687,8.1,13.37096774,106.65,0.943920044,0.329959514
Paul George,308,0.396103896,0.803030303,1.13,20.53731343,105.2375,0.953914492,0.372352715
Avery Bradley,112,0.375,0.545454545,7.38,16.64705882,105.5375,1,0.368798956
Gordon Hayward,314,0.369426752,0.823529412,3.57,21.31428571,106.7375,0.924486396,0.367662753
James Anderson,600,0.375,0.796963947,7.36,23.1980198,107.6833333,1.35,0.320785597
Eric Bledsoe,128,0.3828125,0.666666667,6.82,18.34210526,106.6666667,1.166018878,0.332460733
Lance Stephenson,73,0.219178082,0.663865546,8.45,19.62857143,106.1727273,1.306496391,0.307586207
Quincy Pondexter,165,0.327272727,0.768402154,7.55,15.13970588,104.8714286,0.941085271,0.358391608
Jordan Crawford,284,0.383802817,0.764976959,6.01,19.07352941,104.1111111,1.395209581,0.315891473
Greivis Vasquez,699,0.329041488,0.828301887,7.95,15.89705882,106.0125,1.022457067,0.349152542
Derrick Williams,90,0.511111111,0.719360568,8.04,18.65217391,106.6375,1.333583208,0.300239234
Kyrie Irving,39,0.461538462,0.901408451,8.31,21.02702703,107.6285714,1.112276373,0.382454411
